filename,Id,v16_label,candidate_label
submission_v17_plus_stream2_tail.csv,1223,0,1
submission_v17_plus_stream2_tail.csv,5177,0,1
submission_v17_plus_stream2_tail.csv,5850,0,1
submission_v17_plus_stream2_tail.csv,9757,0,1
submission_v18_plus_rank12_16.csv,1223,0,1
submission_v18_plus_rank12_16.csv,5177,0,1
submission_v18_plus_rank12_16.csv,5850,0,1
submission_v18_plus_rank12_16.csv,8362,0,1
submission_v18_plus_rank12_16.csv,9757,0,1
submission_v19_plus_rank12_20.csv,592,0,1
submission_v19_plus_rank12_20.csv,1223,0,1
submission_v19_plus_rank12_20.csv,4082,0,1
submission_v19_plus_rank12_20.csv,4394,0,1
submission_v19_plus_rank12_20.csv,5177,0,1
submission_v19_plus_rank12_20.csv,5850,0,1
submission_v19_plus_rank12_20.csv,8362,0,1
submission_v19_plus_rank12_20.csv,8832,0,1
submission_v19_plus_rank12_20.csv,9757,0,1
submission_v20_plus_rank12_30.csv,524,0,1
submission_v20_plus_rank12_30.csv,592,0,1
submission_v20_plus_rank12_30.csv,1223,0,1
submission_v20_plus_rank12_30.csv,1309,0,1
submission_v20_plus_rank12_30.csv,1636,0,1
submission_v20_plus_rank12_30.csv,1763,0,1
submission_v20_plus_rank12_30.csv,2440,0,1
submission_v20_plus_rank12_30.csv,2743,0,1
submission_v20_plus_rank12_30.csv,2798,0,1
submission_v20_plus_rank12_30.csv,4082,0,1
submission_v20_plus_rank12_30.csv,4188,0,1
submission_v20_plus_rank12_30.csv,4394,0,1
submission_v20_plus_rank12_30.csv,5177,0,1
submission_v20_plus_rank12_30.csv,5850,0,1
submission_v20_plus_rank12_30.csv,6644,0,1
submission_v20_plus_rank12_30.csv,7235,0,1
submission_v20_plus_rank12_30.csv,8362,0,1
submission_v20_plus_rank12_30.csv,8832,0,1
submission_v20_plus_rank12_30.csv,9757,0,1
