filename,Id,v16_label,candidate_label
submission_v21_high_context.csv,592,0,1
submission_v21_high_context.csv,1223,0,1
submission_v21_high_context.csv,4394,0,1
submission_v21_high_context.csv,5177,0,1
submission_v21_high_context.csv,5850,0,1
submission_v21_high_context.csv,6644,0,1
submission_v21_high_context.csv,7235,0,1
submission_v21_high_context.csv,8362,0,1
submission_v21_high_context.csv,8832,0,1
submission_v21_high_context.csv,9757,0,1
submission_v22_high_novelty_4082.csv,4082,0,1
submission_v23_context_plus_novelty.csv,592,0,1
submission_v23_context_plus_novelty.csv,1223,0,1
submission_v23_context_plus_novelty.csv,4082,0,1
submission_v23_context_plus_novelty.csv,4394,0,1
submission_v23_context_plus_novelty.csv,5177,0,1
submission_v23_context_plus_novelty.csv,5850,0,1
submission_v23_context_plus_novelty.csv,6644,0,1
submission_v23_context_plus_novelty.csv,7235,0,1
submission_v23_context_plus_novelty.csv,8362,0,1
submission_v23_context_plus_novelty.csv,8832,0,1
submission_v23_context_plus_novelty.csv,9757,0,1
